GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0022613,GO:0022613,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS6A03G0634400.1/TraesCS6D03G0509300.1/TraesCS6B03G0739400.1,3,Down,ribonucleoprotein complex biogenesis,biological_process,BP,SN15_vs_Tween
GO:0046406,GO:0046406,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS4A03G1042000.1/TraesCS7A03G0154300.1/TraesCS7D03G0141900.1,3,Down,magnesium protoporphyrin IX methyltransferase activity,molecular_function,MF,SN15_vs_Tween
GO:0051777,GO:0051777,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS4A03G1158000.1/TraesCS7A03G0062900.1/TraesCS7D03G0059600.1,3,Down,ent-kaurenoic acid monooxygenase activity,molecular_function,MF,SN15_vs_Tween
GO:0052837,GO:0052837,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS7A03G0916800.1/TraesCS7B03G0760700.1/TraesCS7D03G0879600.1,3,Down,thiazole biosynthetic process,biological_process,BP,SN15_vs_Tween
GO:0090391,GO:0090391,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS2A03G0473200.1/TraesCS2B03G0595000.1/TraesCS2D03G0479700.1,3,Down,granum assembly,biological_process,BP,SN15_vs_Tween
GO:0034599,GO:0034599,13/6228,68/100553,0.19117647058823528,3.0866036684423284,4.42282805879899,2.4456457601976434e-4,0.002036793530057732,0.001462081515136237,TraesCS2B03G1160400.1/TraesCS2D03G0977800.1/TraesCS6A03G0416600.1/TraesCS6A03G1030700.1/TraesCS6B03G0506000.1/TraesCS6B03G1278500.2/TraesCS6B03G1278500.3/TraesCS6B03G1278500.1/TraesCS6D03G0353400.1/TraesCS6D03G0910500.1/TraesCS6D03G0910500.2/TraesCS7D03G0558500.2/TraesCS7D03G0558500.1,13,Down,cellular response to oxidative stress,biological_process,BP,SN15_vs_Tween
GO:0004072,GO:0004072,7/6228,22/100553,0.3181818181818182,5.137144567057862,4.986757939058146,2.5942030099735715e-4,0.0021201603267820513,0.0015219251127655427,TraesCS5A03G0471800.2/TraesCS5A03G0471800.3/TraesCS5A03G0471800.1/TraesCS5D03G0435100.4/TraesCS5D03G0435100.3/TraesCS5D03G0435100.2/TraesCS5D03G0435100.1,7,Down,aspartate kinase activity,molecular_function,MF,SN15_vs_Tween
GO:0016423,GO:0016423,7/6228,22/100553,0.3181818181818182,5.137144567057862,4.986757939058146,2.5942030099735715e-4,0.0021201603267820513,0.0015219251127655427,TraesCS2A03G0216900.1/TraesCS2A03G0216900.3/TraesCS2A03G0216900.2/TraesCS3A03G1113900.2/TraesCS3A03G1113900.1/TraesCS3B03G1291500.2/TraesCS3B03G1291500.1,7,Down,tRNA (guanine) methyltransferase activity,molecular_function,MF,SN15_vs_Tween
GO:0008409,GO:0008409,6/6228,16/100553,0.375,6.054491811175337,5.195541035320403,2.623479781077699e-4,0.0021201603267820513,0.0015219251127655427,TraesCS3A03G0909800.1/TraesCS3B03G1030900.1/TraesCS3D03G0835500.1/TraesCS4D03G0566300.3/TraesCS4D03G0566300.1/TraesCS4D03G0566300.2,6,Down,5'-3' exonuclease activity,molecular_function,MF,SN15_vs_Tween
GO:0051996,GO:0051996,6/6228,16/100553,0.375,6.054491811175337,5.195541035320403,2.623479781077699e-4,0.0021201603267820513,0.0015219251127655427,TraesCS5A03G0051400.1/TraesCS5B03G0040800.1/TraesCS5D03G0063200.1/TraesCS7A03G1357000.2/TraesCS7A03G1357000.1/TraesCS7B03G1296800.1,6,Down,squalene synthase [NAD(P)H] activity,molecular_function,MF,SN15_vs_Tween
GO:0006996,GO:0006996,9/6228,36/100553,0.25,4.036327874116892,4.6820539039386855,2.7105756504876614e-4,0.0021744397313838517,0.0015608887646771056,TraesCS2D03G1157400.3/TraesCS2D03G1157400.2/TraesCS2D03G1157400.1/TraesCS3A03G0741000.1/TraesCS3B03G0846700.1/TraesCS3D03G0683000.1/TraesCS6A03G0910700.1/TraesCS6D03G0782100.1/TraesCS6B03G1095300.1,9,Down,organelle organization,biological_process,BP,SN15_vs_Tween
