GO_ID,GO_Description,GO_Category,Ontology,Suggested_Category,Final_Category,Notes,Final_Category_Split,Final_Category_Full_Split
GO:0030388,"fructose 1,6-bisphosphate metabolic process",biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004332,fructose-bisphosphate aldolase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006012,galactose metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0008378,galactosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009686,gibberellin biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0042973,"glucan endo-1,3-beta-D-glucosidase activity",molecular_function,MF,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0044042,glucan metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006006,glucose metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0046527,glucosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009064,glutamine family amino acid metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0070681,glutaminyl-tRNAGln biosynthesis via transamidation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0030956,glutamyl-tRNA(Gln) amidotransferase complex,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006749,glutathione metabolic process,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0004364,glutathione transferase activity,molecular_function,MF,Defense,Defense,NA,Stress Response,Stress Response
GO:0006546,glycine catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0005960,glycine cleavage complex,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019464,glycine decarboxylation via glycine cleavage system,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004375,glycine dehydrogenase (decarboxylating) activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006544,glycine metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004820,glycine-tRNA ligase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0005978,glycogen biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0005977,glycogen metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0008184,glycogen phosphorylase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006426,glycyl-tRNA aminoacylation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006097,glyoxylate cycle,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0090391,granum assembly,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006783,heme biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016758,hexosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0052716,hydroquinone:oxygen oxidoreductase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004420,hydroxymethylglutaryl-CoA reductase (NADPH) activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0042802,identical protein binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004425,indole-3-glycerol-phosphate synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0103075,indole-3-pyruvate monooxygenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004239,initiator methionyl aminopeptidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0045087,innate immune response,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0015698,inorganic anion transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004427,inorganic diphosphate phosphatase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0047724,inosine nucleosidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019310,inositol catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0050113,inositol oxygenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006873,intracellular monoatomic ion homeostasis,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016872,intramolecular lyase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016860,intramolecular oxidoreductase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
